Sequence number;Packet Number;RTT [ms]
503905;349;0
505353;350;0
506801;351;0
508249;352;14.250000
509697;353;14.250000
511145;354;14.250000
512593;355;14.250000
514041;356;14.125000
515489;357;14.125000
516937;358;14.125000
518385;359;14.250000
519833;360;14.250000
521281;361;14.250000
522729;362;14.125000
524177;363;14.125000
525625;364;14.125000
527073;365;14.125000
528521;366;14.125000
529969;367;14.125000
531417;368;14.250000
532865;369;14.250000
534313;370;14.250000
535761;371;14.250000
537209;372;14.250000
538657;373;14.250000
540105;374;14.250000
541553;375;14.250000
543001;376;14.250000
544449;377;14.250000
545897;378;14.250000
547345;379;14.250000
548793;380;14.250000
550241;381;14.250000
551689;382;14.250000
553137;383;14.250000
554585;384;14.250000
556033;385;14.250000
557481;386;14.125000
558929;387;14.125000
560377;388;14.125000
561825;389;14.250000
563273;390;14.250000
564721;391;14.250000
566169;392;14.125000
567617;393;14.125000
569065;394;14.125000
570513;395;14.250000
571961;396;14.250000
573409;397;14.250000
574857;398;14.241000
576305;399;14.241000
577753;400;14.241000
579201;401;14.259000
580649;402;14.259000
582097;403;14.259000
583545;404;14.125000
584993;405;14.125000
586441;406;14.125000
587889;407;14.250000
589337;408;14.250000
590785;409;14.250000
592233;410;14.250000
593681;411;14.250000
595129;412;14.250000
596577;413;14.250000
598025;414;14.250000
599473;415;14.250000
600921;416;14.250000
602369;417;14.250000
603817;418;14.250000
605265;419;14.125000
606713;420;14.125000
608161;421;14.125000
609609;422;0
611057;423;0
612505;424;0
613953;425;0
615401;426;0
616849;427;14.125000
618297;428;14.250000
619745;429;14.250000
621193;430;14.250000
622641;431;14.250000
624089;432;14.250000
625537;433;14.250000
626985;434;14.125000
628433;435;14.125000
629881;436;14.125000
631329;437;14.250000
632777;438;14.250000
634225;439;14.250000
635673;440;14.125000
637121;441;14.125000
638569;442;14.125000
640017;443;14.250000
641465;444;14.250000
642913;445;14.250000
644361;446;14.250000
645809;447;14.250000
647257;448;14.250000
648705;449;14.125000
650153;450;14.125000
651601;451;14.125000
653049;452;14.250000
654497;453;14.250000
655945;454;14.250000
657393;455;14.750000
658841;456;14.750000
660289;457;14.750000
661737;458;14.250000
663185;459;14.250000
664633;460;14.250000
666081;461;14.250000
667529;462;14.250000
668977;463;14.250000
670425;464;13.500000
671873;465;13.500000
673321;466;13.500000
674769;467;14.250000
676217;468;14.250000
677665;469;14.250000
679113;470;14.125000
680561;471;14.125000
682009;472;14.125000
683457;473;14.125000
684905;474;14.125000
686353;475;14.125000
687801;476;14.250000
689249;477;14.250000
690697;478;14.250000
692145;479;14.250000
693593;480;14.250000
695041;481;14.250000
696489;482;14.125000
697937;483;14.125000
699385;484;14.125000
700833;485;13.625000
702281;486;13.625000
703729;487;13.625000
705177;488;14.125000
706625;489;14.125000
708073;490;14.125000
709521;491;14.250000
710969;492;14.250000
712417;493;14.250000
713865;494;14.250000
715313;495;14.250000
716761;496;14.250000
718209;497;14.250000
719657;498;14.250000
721105;499;14.250000
722553;500;14.250000
724001;501;14.250000
725449;502;14.250000
726897;503;0
728345;504;0
729793;505;0
731241;506;0
732689;507;0
734137;508;14.125000
735585;509;14.125000
737033;510;14.125000
738481;511;14.125000
739929;512;14.125000
741377;513;14.125000
742825;514;14.125000
744273;515;14.250000
745721;516;14.250000
747169;517;14.250000
748617;518;14.250000
750065;519;14.250000
751513;520;14.250000
752961;521;14.125000
754409;522;14.125000
755857;523;14.125000
757305;524;14.125000
758753;525;14.125000
760201;526;14.125000
761649;527;14.125000
763097;528;14.125000
